vehicle_id,time,distance
358,3.01,9.2
357,3.01,9.94
346,3.01,6.31
345,3.01,4.33
354,3.01,4.33
366,3.01,9.94
370,3.01,6.31
351,3.01,8.26
361,3.02,9.2
367,3.02,6.76
344,3.02,5.16
352,3.02,4.33
369,3.02,4.33
350,6.01,6.09
342,6.01,6.28
345,6.01,6.12
354,6.01,5.79
371,6.01,6.12
366,6.01,6.93
370,6.01,6.28
353,6.02,6.09
356,6.02,6.93
363,6.02,3.73
367,6.02,5.81
364,6.02,3.73
352,6.02,5.79
369,6.02,1.21
350,9.02,5.12
342,9.02,6.28
345,9.02,4.91
354,9.02,3.68
349,9.02,7.74
365,9.02,7.12
370,9.02,6.28
353,9.03,5.12
356,9.03,7.12
351,9.03,6.95
344,9.03,8.63
355,9.03,7.74
352,9.03,3.68
369,9.03,4.91
350,12.02,5.12
342,12.02,6.28
357,12.02,8.55
354,12.02,6.54
365,12.03,8.55
370,12.03,6.28
353,12.03,5.12
356,12.03,6.03
351,12.03,5.33
361,12.03,9.13
367,12.03,6.54
344,12.03,9.57
355,12.03,9.13
364,12.03,8.29
352,12.03,3.68
342,15.04,6.28
357,15.04,4.32
346,15.04,7.93
371,15.04,6.35
365,15.04,7.93
370,15.04,6.28
362,15.04,6.35
356,15.04,4.32
351,15.05,9.59
344,15.05,4.35
364,15.05,7.27
358,18.05,7.19
357,18.05,1.88
354,18.05,4.58
371,18.05,6.35
349,18.05,7.32
362,18.05,6.35
353,18.05,6.62
356,18.06,1.88
368,18.06,7.19
361,18.06,4.58
367,18.06,7.32
344,18.06,6.62
350,21.05,3.81
358,21.05,3.97
357,21.05,1.88
345,21.05,9.31
354,21.05,4.55
360,21.05,3.5
349,21.05,2.44
353,21.06,6.62
348,21.06,3.5
356,21.06,1.88
351,21.06,3.81
368,21.06,3.97
361,21.06,4.55
367,21.06,2.44
344,21.06,6.62
355,21.06,9.31
352,21.06,7.83
350,24.05,8.72
342,24.05,4.23
357,24.05,1.88
346,24.05,9.14
345,24.05,8.88
354,24.05,4.5
360,24.05,3.5
343,24.05,9.14
370,24.06,4.23
348,24.06,3.5
356,24.06,1.88
361,24.06,8.72
364,24.06,8.88
345,27.06,5.92
354,27.06,4.46
360,27.06,3.5
348,27.07,3.5
368,27.07,5.92
361,27.07,4.46
367,27.07,9.82
352,27.07,9.82
358,30.06,3.56
345,30.07,3.56
360,30.07,3.87
348,30.07,3.87
368,30.07,6.37
367,30.07,9.59
352,30.07,9.59
358,33.07,3.53
345,33.07,3.53
360,33.07,5.25
368,33.08,9.96
363,33.08,5.25
367,33.08,9.39
364,33.08,9.75
352,33.08,9.39
369,33.08,9.75
358,36.07,3.57
345,36.07,3.57
360,36.07,5.27
363,36.08,5.27
367,36.08,9.24
364,36.08,9.75
352,36.08,9.24
369,36.08,9.75
358,39.07,5.31
345,39.08,5.31
354,39.08,6.98
360,39.08,5.27
356,39.08,6.98
368,39.08,9.39
363,39.08,5.27
364,39.08,9.75
369,39.08,9.75
345,42.08,4.7
354,42.08,7.57
371,42.08,6.08
360,42.08,5.28
365,42.08,4.7
343,42.08,7.57
356,42.09,6.87
363,42.09,5.28
364,42.09,8.82
369,42.09,8.82
358,45.09,4.07
345,45.09,4.68
354,45.09,6.76
371,45.09,5.05
360,45.09,5.26
365,45.09,4.68
356,45.09,6.76
368,45.09,4.07
363,45.09,5.26
358,48.09,4.07
345,48.1,4.66
354,48.1,6.67
371,48.1,5.05
360,48.1,5.2
365,48.1,4.66
356,48.1,6.67
368,48.1,4.07
363,48.1,5.2
358,51.09,4.23
346,51.09,9.18
345,51.1,4.63
354,51.1,6.58
371,51.1,5.05
365,51.1,4.63
356,51.1,6.58
368,51.1,4.23
355,51.1,9.18
358,54.1,4.09
354,54.1,9.95
371,54.1,9.95
356,54.11,6.5
368,54.11,4.09
358,57.11,8.16
354,57.11,9.85
371,57.11,9.85
356,57.12,6.44
368,57.12,8.16
