vehicle_id,time,detected_vehicles,collision_detected
393,3.01,2,0
397,3.01,1,0
407,3.01,0,0
401,3.01,2,0
396,3.01,5,0
395,3.01,2,0
405,3.01,6,0
415,3.01,2,0
394,3.01,0,0
409,3.01,2,0
404,3.01,3,0
403,3.01,1,0
398,3.01,2,0
413,3.01,1,0
392,3.02,6,0
417,3.02,2,0
402,3.02,2,0
408,3.02,2,0
411,3.02,0,0
421,3.02,0,0
399,3.02,0,0
406,3.02,1,0
419,3.02,2,0
414,3.02,4,0
410,3.02,5,0
400,3.02,5,0
418,3.02,2,0
416,3.02,2,0
412,3.02,0,0
420,3.02,0,0
393,6.02,1,0
397,6.02,1,0
407,6.02,0,0
401,6.02,1,0
396,6.02,5,0
395,6.02,0,0
405,6.02,6,0
415,6.02,0,0
394,6.02,0,0
409,6.02,3,0
404,6.02,4,0
403,6.02,1,0
398,6.02,0,0
413,6.02,0,0
392,6.02,6,0
417,6.02,0,0
402,6.02,0,0
408,6.02,0,0
411,6.03,0,0
421,6.03,0,0
399,6.03,0,0
406,6.03,3,0
419,6.03,0,0
414,6.03,4,0
410,6.03,5,0
400,6.03,6,0
418,6.03,3,0
416,6.03,3,0
412,6.03,0,0
420,6.03,0,0
393,9.03,2,0
397,9.03,1,0
407,9.03,0,0
401,9.04,2,0
396,9.04,6,0
395,9.04,0,0
405,9.04,7,0
415,9.04,0,0
394,9.04,1,0
409,9.04,2,0
404,9.04,4,0
403,9.05,1,0
398,9.05,0,0
413,9.05,0,0
392,9.05,6,0
417,9.05,1,0
402,9.05,1,0
408,9.05,2,0
411,9.05,0,0
421,9.05,2,0
399,9.05,0,0
406,9.05,0,0
419,9.05,0,0
414,9.06,4,0
410,9.06,5,0
400,9.06,6,0
418,9.06,2,0
416,9.06,2,0
412,9.06,1,0
420,9.06,0,0
393,12.04,1,0
397,12.04,1,0
407,12.04,0,0
401,12.04,1,0
396,12.04,6,0
395,12.04,2,0
405,12.04,7,0
415,12.04,1,0
394,12.04,2,0
409,12.04,2,0
404,12.05,5,0
403,12.05,1,0
398,12.05,0,0
413,12.05,0,0
392,12.05,7,0
417,12.05,2,0
402,12.05,2,0
408,12.05,6,0
411,12.05,1,0
421,12.05,1,0
399,12.05,0,0
406,12.05,0,0
419,12.05,1,0
414,12.05,4,0
410,12.05,6,0
400,12.05,7,0
418,12.05,2,0
416,12.05,2,0
412,12.05,2,0
420,12.05,0,0
393,15.05,2,0
397,15.05,1,0
407,15.05,0,0
401,15.05,1,0
396,15.05,5,0
395,15.05,0,0
405,15.05,7,0
415,15.05,1,0
394,15.05,1,0
409,15.05,2,0
404,15.05,5,0
403,15.05,1,0
398,15.05,0,0
413,15.05,0,0
392,15.06,6,0
417,15.06,1,0
402,15.06,1,0
408,15.06,6,0
411,15.06,1,0
421,15.06,0,0
399,15.06,0,0
406,15.06,0,0
419,15.06,1,0
414,15.06,3,0
410,15.07,5,0
400,15.07,7,0
418,15.07,2,0
416,15.07,2,0
412,15.07,1,0
420,15.07,0,0
393,18.08,1,0
397,18.08,1,0
407,18.08,0,0
401,18.08,0,0
396,18.08,2,0
395,18.08,0,0
405,18.08,5,0
415,18.08,2,0
394,18.08,2,0
409,18.08,2,0
404,18.08,3,0
403,18.08,1,0
398,18.08,0,0
413,18.08,1,0
392,18.08,5,0
417,18.08,1,0
402,18.08,1,0
408,18.08,4,0
411,18.08,2,0
421,18.08,0,0
399,18.08,0,0
406,18.08,0,0
419,18.09,1,0
414,18.09,0,0
410,18.09,4,0
400,18.09,3,0
418,18.09,2,0
416,18.09,2,0
412,18.09,1,0
420,18.09,0,0
393,21.12,1,0
397,21.12,1,0
407,21.12,0,0
401,21.12,1,0
396,21.12,0,0
395,21.12,0,0
405,21.13,3,0
415,21.13,1,0
394,21.13,0,0
409,21.13,2,0
404,21.13,3,0
403,21.13,1,0
398,21.13,0,0
413,21.13,0,0
392,21.13,3,0
417,21.13,0,0
402,21.13,2,0
408,21.13,2,0
